typ	fakultaet	widmung	name	jahr
TT	Fakultät für Informatik	Business Informatics	Bernhard Lutz	2026
UP	Fakultät für Informatik	Computer Science (Process-Oriented Information Systems)	Han van der Aa	2024
TT	Fakultät für Informatik	Data Mining	Nils Morten Kriege	2020
TT	Fakultät für Informatik	Database techniques for Data Mining	Christian Böhm	2022
TT	Fakultät für Informatik	Information and Communication Technology 1 (Natural Language Processing)	Sebastian Schuster	2025
TT	Fakultät für Informatik	Information Systems Engineering	Atakan Aral	2024
TT	Fakultät für Informatik	Responsible Computing	Martin Pawelczyk	2026
UP	Fakultät für Informatik	Security and Privacy	Edgar R. Weippl	2020
TT	Fakultät für Informatik	Theoretical Computer Science	Karen Azari	2025
TT	Fakultät für Informatik und Fakultät für Mathematik	Machine Learning	Philipp Christian Petersen	2019
UP	Fakultät für Informatik und Philologisch-Kulturwissenschaftliche Fakultät	Digitale Textwissenschaften	Benjamin Roth	2020
UP	Fakultät für Informatik und Zentrum für Lehrer*innenbildung	Didactics of Computer Science	Bernhard Standl	2026
TT	Fakultät für Lebenswissenschaften	Analysis of Biomolecules	Karin Ortmayr	2022
TT	Fakultät für Lebenswissenschaften	Archaeological Science	Aikaterini Douka	2021
TT	Fakultät für Lebenswissenschaften	Behavioural Ecology	Petra Sumasgutner	2022
UP	Fakultät für Lebenswissenschaften	Biologische Anthropologie	Ron Pinhasi	2022
UP	Fakultät für Lebenswissenschaften	Biostatistik und Biometrie	Philipp Mitteröcker	2022
TT	Fakultät für Lebenswissenschaften	Clinical Pharmacy	Florian Kopp	2019
TT	Fakultät für Lebenswissenschaften	Cognitive Sciences 1	Barbara Klump	2023
TT	Fakultät für Lebenswissenschaften	Computational methods for systems biology and biotechnology	Steffen Waldherr	2021
TT	Fakultät für Lebenswissenschaften	Conservation Biology	Jaqueline Loos	2024
UP	Fakultät für Lebenswissenschaften	Data-Driven Drug Discovery	Johannes Kirchmair	2025
TT	Fakultät für Lebenswissenschaften	Drug Discovery by advanced NMR methods	Julien Orts	2021
UP	Fakultät für Lebenswissenschaften	Evolutionäre Entwicklungsbiologie	Oleg Simakov	2025
TT	Fakultät für Lebenswissenschaften	Evolutionary Morphology	Tim Wollesen	2021
TT	Fakultät für Lebenswissenschaften	Functional Pharmacology	Marietta Zille	2021
TT	Fakultät für Lebenswissenschaften	Funktionsmorphologie der Arthropoden	Yoko Matsumura	2025
TT	Fakultät für Lebenswissenschaften	Gene-Culture Coevolution	Benjamin Vernot	2025
TT	Fakultät für Lebenswissenschaften	Gene-culture coevolution in human and animal disease	Verena Schünemann	2022
UP	Fakultät für Lebenswissenschaften	Invasion Biology	Franz Essl	2025
TT	Fakultät für Lebenswissenschaften	Life Sciences - Computational Biosciences	Martin Kuhlwilm	2021
UP	Fakultät für Lebenswissenschaften	Marine Biology	Frank Melzner	2026
TT	Fakultät für Lebenswissenschaften	Medicinal Chemistry of Chemotherapeutics	Nina Schützenmeister	2020
TT	Fakultät für Lebenswissenschaften	Microarchaeology	Mareike Stahlschmidt	2022
TT	Fakultät für Lebenswissenschaften	Moderne Methoden in der Arzneistoffsynthese	David Konrad	2025
TT	Fakultät für Lebenswissenschaften	Molecular Disease Mechanisms	Anna Antoniou	2025
UP	Fakultät für Lebenswissenschaften	Molecular Drug Targeting	Christoph Rademacher	2020
TT	Fakultät für Lebenswissenschaften	Natural Product Research	Mitja Zdouc	2026
UP	Fakultät für Lebenswissenschaften	Naturwissenschaftliche Archäologie	Tom Higham	2021
TT	Fakultät für Lebenswissenschaften	Nutritional Neuroscience	Stefan Schulreich	2023
TT	Fakultät für Lebenswissenschaften	Paleogenomics	Pere Gelabert Xirinachs	2025
UP	Fakultät für Lebenswissenschaften	Pflanzen-Mikroben-Interaktion	Stephanie Wienkoop	2022
TT	Fakultät für Lebenswissenschaften	Pharmaceutical Bioanalysis	Sophia Khom-Steinkellner	2021
TT	Fakultät für Lebenswissenschaften	Pharmaceutical Neurochemistry	Verena Pichler	2020
UP	Fakultät für Lebenswissenschaften	Pharmaceutical Technology and Biopharmacy	Lea Ann Dailey	2019
UP	Fakultät für Lebenswissenschaften	Pharmacology and Toxicology	Manuela Schmidt	2020
TT	Fakultät für Lebenswissenschaften	Plant-Animal Interactions	Agnes Dellinger	2023
TT	Fakultät für Lebenswissenschaften	Preclinical Medicines Development	Ulrich Lächelt	2021
UP	Fakultät für Lebenswissenschaften	Public Health Nutrition	Tilman Kühn	2022
UP	Fakultät für Lebenswissenschaften	Systematic and Evolutionary Botany	Norman J. Wickett	2024
UP	Fakultät für Lebenswissenschaften	Theoretical Evolutionary Biology	Mihaela Pavlicev	2019
UP	Fakultät für Lebenswissenschaften	Verhaltensbiologie	Sonia Kleindorfer	2025
UP	Fakultät für Lebenswissenschaften	Zoo Conservation Science	Angela Stöger-Horwath	2025
UP	Fakultät für Lebenswissenschaften	Zytogenetik von Pflanzen	Hanna Schneeweiss	2022
TT	Fakultät für Lebenswissenschaften und Fakultät für Mathematik	Mathematische Evolutionsgenetik	Himani Sachdeva	2025
TT	Fakultät für Lebenswissenschaften und Forschungsverbund Kognitionswissenschaft	Neurobiologie und Kognitionswissenschaft von Spracherwerb und Mehrsprachigkeit	Narly Golestani	2021
UP	Fakultät für Lebenswissenschaften und Zentrum für Sportwissenschaft und Universitätssport	Sports Nutrition	Daniel Karl Magnus König	2021
TT	Fakultät für Mathematik	Algebraic Topology	Vera Vértesi	2020
UP	Fakultät für Mathematik	Algebraische Geometrie	Balázs Szendröi	2022
UP	Fakultät für Mathematik	Analysis partieller Differentialgleichungen	Roland Donninger	2022
UP	Fakultät für Mathematik	Applied Analysis	Pierre Germain	2026
TT	Fakultät für Mathematik	Computational Optimization	Yurii Malitskyi	2023
UP	Fakultät für Mathematik	Computational Partial Differential Equations	Olga Mula	2025
TT	Fakultät für Mathematik	Data Driven Partial Differential Equations	Vladimir Kazeev	2019
TT	Fakultät für Mathematik	Diskrete Mathematik	Matija Bucic	2025
UP	Fakultät für Mathematik	Dynamical Systems in Biomathematics	Emmanuel Schertzer	2021
UP	Fakultät für Mathematik	Geometrie und Algebraische Strukturen	Anton Mellit	2025
UP	Fakultät für Mathematik	Geometrische Partielle Differentialgleichungen	Daniele Semola	2026
TT	Fakultät für Mathematik	Geometry	Ailsa Keating	2023
TT	Fakultät für Mathematik	Harmonic Analysis and its applications	Jose Luis Romero	2021
TT	Fakultät für Mathematik	Lorentzsche Geometrie	Clemens Sämann	2025
TT	Fakultät für Mathematik	Mathematical Aspects of Geophysics	Klaus Widmayer	2022
TT	Fakultät für Mathematik	Mathematical Biology	Angelika Manhart	2023
TT	Fakultät für Mathematik	Mathematical Finance	Julio Daniel Backhoff-Veraguas	2021
TT	Fakultät für Mathematik	Mathematical Logic	Vera Fischer	2021
TT	Fakultät für Mathematik	Mathematik der Data Science	Samuel Lanthaler	2025
UP	Fakultät für Mathematik	Mathematik der Emergenz in Biologie und Sozialwissenschaften	Sara Merino Aceituno	2025
UP	Fakultät für Mathematik	Mathematische Allgemeine Relativitätstheorie	Roland Steinbauer	2025
TT	Fakultät für Mathematik	Mathematische Logik	Aristotelis Panagiotopoulos	2024
UP	Fakultät für Mathematik	Mathematische Logik mit Berücksichtigung der Grundlagen der Informatik	Matthias Aschenbrenner	2020
TT	Fakultät für Mathematik	Partial Differential Equations in the Applied Sciences	Sabine Doppler	2019
TT	Fakultät für Mathematik	Partielle Differentialgleichungen für aktuelle gesellschaftliche Herausforderungen	Marvin Fritz	2026
UP	Fakultät für Mathematik und Fakultät für Physik	Quantum Algorithms	Norbert Schuch	2020
UP	Fakultät für Mathematik und Max Perutz Labs	Quantitative Modelling of Biological Networks	Jörg Menche	2020
TT	Fakultät für Mathematik und Zentrum für Lehrer*innenbildung	Didaktik der Mathematik	Theresa Büchter	2026
TT	Fakultät für Philosophie und Bildungswissenschaft	Angewandte Ethik	Daniel Sharp	2026
UP	Fakultät für Philosophie und Bildungswissenschaft	Antike Philosophie	George Karamanolis	2025
UP	Fakultät für Philosophie und Bildungswissenschaft	Bildung und Ungleichheit	Veronika Wöhrer	2020
TT	Fakultät für Philosophie und Bildungswissenschaft	Early Childhood Education	Astrid Wirth	2023
UP	Fakultät für Philosophie und Bildungswissenschaft	Formale Philosophie	Georg Schiemer	2022
UP	Fakultät für Philosophie und Bildungswissenschaft	Moralphilosophie und Politische Philosophie	Paulina Anna Sliwa	2021
UP	Fakultät für Philosophie und Bildungswissenschaft	Östliche Philosophie	Elisa Freschi	2026
UP	Fakultät für Philosophie und Bildungswissenschaft	Philosophie der Aufklärung und der Moderne	Katharina Kraus	2025
UP	Fakultät für Philosophie und Bildungswissenschaft	Philosophie und Ethik in Schule und Gesellschaft	Caroline Heinrich	2020
TT	Fakultät für Philosophie und Bildungswissenschaft	Philosophie und ihre Didaktik	Donata Romizi	2019
UP	Fakultät für Philosophie und Bildungswissenschaft	Psychoanalytische Pädagogik	Roger Frie	2025
UP	Fakultät für Philosophie und Bildungswissenschaft	Theoretische Philosophie	Benjamin Schnieder	2021
TT	Fakultät für Philosophie und Bildungswissenschaft und Fakultät für Sozialwissenschaften	Gender Studies	Sabine Grenz	2020
UP	Fakultät für Philosophie und Bildungswissenschaft und Zentrum für Lehrer*innenbildung	Inklusive Pädagogik und Behinderungsforschung	Tobias Buchner	2026
UP	Fakultät für Philosophie und Bildungswissenschaft und Zentrum für Lehrer*innenbildung	Schul- und Bildungsforschung mit besonderer Berücksichtigung des internationalen Vergleichs	Barbara Schulte	2020
UP	Fakultät für Philosophie und Bildungswissenschaft und Zentrum für Lehrer*innenbildung	Schulpädagogik unter besonderer Berücksichtigung der Sekundarstufe	Nele Nicole Kampa	2022
UP	Fakultät für Physik	Computational Material Discovery	Reinhard J. Maurer	2025
UP	Fakultät für Physik	Computational Physics 1	Sofia Kantorovich	2022
UP	Fakultät für Physik	Computational Physics 2	Dieter Süss	2022
UP	Fakultät für Physik	Experimental Condensed Matter Physics	Paola Ayala	2025
UP	Fakultät für Physik	Experimental soft matter Physics	Roberto Cerbino	2021
UP	Fakultät für Physik	Experimentelle Aerosolphysik	Paul Winkler	2025
TT	Fakultät für Physik	Far-from-equilibrium Quantum Systems	Thomas Nikolai Kiesel	2019
TT	Fakultät für Physik	Isotope and Environmental Physics employing Accelerator Mass Spectrometry	Karin Hain	2022
UP	Fakultät für Physik	Low-dimensional Transport and Nanotechnology	Andrii Chumak	2019
TT	Fakultät für Physik	Mathematical Physics	Marcus Sperling	2025
TT	Fakultät für Physik	Mathematical Physics	Nils Carqueville	2020
TT	Fakultät für Physik	Mid-IR Spektroskopie	Oliver H. Heckl	2020
UP	Fakultät für Physik	Physik kondensierter Materie	Jani Kotakoski	2022
UP	Fakultät für Physik	Quantum Optics und Microscopy	Thomas Juffmann	2025
TT	Fakultät für Physik	Strongly correlated materials and superconductivity	Luca Felix Banszerus	2024
TT	Fakultät für Physik	Theoretical Many-Body Quantum Physics	Andreas Nunnenkamp	2021
TT	Fakultät für Physik	Theoretical Particle Physics	Massimiliano Procura	2019
TT	Fakultät für Physik	Theory of Dark Matter Dynamics and Physics Beyond the Standard Model	Josef Pradler	2023
UP	Fakultät für Psychologie	(Klinisch-psychologische) Interventionsforschung	Johanna Böttcher	2026
UP	Fakultät für Psychologie	Bildungspsychologie und gesellschaftliche Veränderungen	Thomas Götz	2019
TT	Fakultät für Psychologie	Differentielle Psychologie, Persönlichkeitspsychologie und Psychologische Diagnostik	Jakob Pietschnig	2020
UP	Fakultät für Psychologie	Gesundheitspsychologie	Laura M. König	2023
TT	Fakultät für Psychologie	Health and Environmental Psychology	Mathew White	2025
UP	Fakultät für Psychologie	Klinische Neurowissenschaften	Giorgia Silani	2025
UP	Fakultät für Psychologie	Motivationspsychologie	Veronika Job	2021
TT	Fakultät für Psychologie	Psychologie der Digitalisierung	Armin Granulo	2026
UP	Fakultät für Psychologie	Psychologie des Alterns	Jana Nikitin	2020
TT	Fakultät für Psychologie	Psychologie mit Fokus auf Veränderungen in Arbeit, Gesellschaft und Wirtschaft	Jana Kühnel	2019
TT	Fakultät für Psychologie	Psychotherapie und Psychotherapieforschung	Thomas Probst	2026
TT	Fakultät für Psychologie	Soziale Kognition	Magdalena Boch	2026
UP	Fakultät für Psychologie	Sozialpsychologie im Kontext von Arbeit, Gesellschaft und Wirtschaft	Robert Böhm	2021
UP	Fakultät für Psychologie	Stadt- und Umweltpsychologie	Sabine Pahl	2020
TT	Fakultät für Psychologie und Forschungsverbund Kognitionswissenschaft	Psychology of Cognitive- and Neuroaesthetics	Matthew Pelowski	2020
TT	Fakultät für Psychologie und Forschungsverbund Kognitionswissenschaft und Zentrum für Mikrobiologie und Umweltsystemwissenschaft	Cognitive Neuroscience of brain-microbiome interactions	Isabella Anderson-Wagner	2021
UP	Fakultät für Sozialwissenschaften	Allgemeine Soziologie	Anna Wanka	2026
UP	Fakultät für Sozialwissenschaften	Computational Communication Science	Annie Waldherr	2020
UP	Fakultät für Sozialwissenschaften	Demography	Eva Beaujouan	2025
TT	Fakultät für Sozialwissenschaften	Demography and Sustainable Development	Erich Striessnig	2020
TT	Fakultät für Sozialwissenschaften	Digital Anthropology	Suzana Jovicic	2026
TT	Fakultät für Sozialwissenschaften	Digital Health Governance	Katharina Theresa Paul	2022
TT	Fakultät für Sozialwissenschaften	Digitale Demokratie	Carolina Plescia	2020
TT	Fakultät für Sozialwissenschaften	Entwicklungsforschung aus globalhistorischer Perspektive	Eva-Maria Muschik	2020
UP	Fakultät für Sozialwissenschaften	European Studies	Patrick Müller	2024
UP	Fakultät für Sozialwissenschaften	Familiensoziologie	Ulrike Zartler-Griessl	2022
TT	Fakultät für Sozialwissenschaften	Government	Christopher Wratil	2021
TT	Fakultät für Sozialwissenschaften	Infrastructures, Innovation and Global Politics	Nina Klimburg-Witjes	2023
TT	Fakultät für Sozialwissenschaften	Interactive Communication	Viorela Dan	2026
TT	Fakultät für Sozialwissenschaften	Interaktive Kommunikation	Tobias Dienlin	2020
UP	Fakultät für Sozialwissenschaften	International Politics with focus on Environmental Politics	Alice Vadrot	2025
UP	Fakultät für Sozialwissenschaften	Internationale Entwicklung	Franziska Müller	2025
UP	Fakultät für Sozialwissenschaften	Kultur- und Sozialanthropologie des globalen Südens	Manuela Ciotti	2020
TT	Fakultät für Sozialwissenschaften	Kultur- und Sozialanthropologie mit dem Schwerpunkt Visuelle Anthropologie	Sanderien Verstappen	2020
TT	Fakultät für Sozialwissenschaften	Lebensverlauf, Generationen, Alter	Valeria Bordone	2019
TT	Fakultät für Sozialwissenschaften	Medicine, Planetary Health and Biopolitics	Christian Haddad	2025
TT	Fakultät für Sozialwissenschaften	Medien und Intersektionalität	Claudia Wilhelm	2020
TT	Fakultät für Sozialwissenschaften	Medien- und Kommunikationsgeschichte	Thomas R. Schmidt	2026
TT	Fakultät für Sozialwissenschaften	Medienkompetenz	Jolien Trekels	2025
UP	Fakultät für Sozialwissenschaften	Medizinanthropologie und Global Health	Janina Kehr	2021
TT	Fakultät für Sozialwissenschaften	Ökonomische Anthropologie	Andreas Streinzer	2025
UP	Fakultät für Sozialwissenschaften	Österreichische Politik im europäischen Kontext	Laurenz Ennser-Jedenastik	2023
UP	Fakultät für Sozialwissenschaften	Pflegewissenschaft	Kerstin Hämel	2024
UP	Fakultät für Sozialwissenschaften	Politik und Gender	Dorit Geva	2024
TT	Fakultät für Sozialwissenschaften	Politikwissenschaft mit dem Schwerpunkt Sozialpolitikforschung	Reto Bürgisser	2025
UP	Fakultät für Sozialwissenschaften	Politische Institutionen im Vergleich	Thomas Moritz Meyer	2022
UP	Fakultät für Sozialwissenschaften	Politische Soziologie	Anna Durnová	2021
TT	Fakultät für Sozialwissenschaften	Qualitative Sozialforschung	Ana Mijić	2025
UP	Fakultät für Sozialwissenschaften	Sozialstrukturforschung und quantitative Methoden	Nadia Steiber	2020
TT	Fakultät für Sozialwissenschaften	Soziologie des sozialen Wandels	Emma Dowling	2020
TT	Fakultät für Sozialwissenschaften	Soziologie mit dem Schwerpunkt Quantitative Sozialforschung	Caroline Berghammer	2019
UP	Fakultät für Sozialwissenschaften	Technosciences, Materiality and Digital Cultures	Sarah R. Davies	2020
TT	Fakultät für Sozialwissenschaften	Transformationen der Demokratie	Gregor Fabio Wolkenstein	2021
TT	Fakultät für Sozialwissenschaften	Unterhaltungsforschung	Kathrin Karsay	2023
UP	Fakultät für Sozialwissenschaften	Vergleichende Politikwissenschaft	Dorothee Bohle	2021
UP	Fakultät für Sozialwissenschaften	Wissenschafts- und Technikforschung im Schwerpunkt Wissens- und Wissenschaftskulturen	Maximillian Fochler	2025
UP	Fakultät für Sozialwissenschaften	Wissenschafts- und Technikforschung, mit besonderem Schwerpunkt auf Umwelt und Innovation	Ulrike Felt	2026
TT	Fakultät für Wirtschaftswissenschaften	Betriebswirtschaftslehre – e-Business	Wenjie Tang	2020
UP	Fakultät für Wirtschaftswissenschaften	Betriebswirtschaftslehre – Innovations- und Technologiemanagement	Stefan Michael Wagner	2024
UP	Fakultät für Wirtschaftswissenschaften	Betriebswirtschaftslehre – International Business	Maria Emmanuella Plakogiannaki	2020
UP	Fakultät für Wirtschaftswissenschaften	Betriebswirtschaftslehre – Marketing	Christoph Fuchs	2021
UP	Fakultät für Wirtschaftswissenschaften	Business Administration – Service Management / Financial Services	Günter Strobl	2019
UP	Fakultät für Wirtschaftswissenschaften	Business Analytics	Jan Fabian Ehmke	2020
TT	Fakultät für Wirtschaftswissenschaften	Environmental and Resource Economics	Alexandra Brausmann	2020
TT	Fakultät für Wirtschaftswissenschaften	Finance	Yuliyan Mitkov	2025
TT	Fakultät für Wirtschaftswissenschaften	Financial Accounting 1	Felix Niggemann	2026
TT	Fakultät für Wirtschaftswissenschaften	Financial Accounting 2	Sebastian Kronenberger	2026
UP	Fakultät für Wirtschaftswissenschaften	Finanzrecht mit dem Schwerpunkt Internationales Unternehmenssteuerrecht	Daniela Hohenwarter-Mayr	2020
TT	Fakultät für Wirtschaftswissenschaften	Foundations of Machine Learning in Finance	Paul Peter Hager	2024
TT	Fakultät für Wirtschaftswissenschaften	Governance, Organizational Design and Digitalization	Dmitriy Knyazev	2021
TT	Fakultät für Wirtschaftswissenschaften	International Business	Aikaterini Makri	2021
TT	Fakultät für Wirtschaftswissenschaften	Macroeconomic Policy	Andreas Gulyas	2025
UP	Fakultät für Wirtschaftswissenschaften	Macroeconomics	Harald Fadinger	2024
TT	Fakultät für Wirtschaftswissenschaften	Managerial Accounting	Ulrich Schäfer	2023
UP	Fakultät für Wirtschaftswissenschaften	Marketing	Martin Eisend	2024
TT	Fakultät für Wirtschaftswissenschaften	Markt- und Organisationssoziologie	Valentina Ausserladscheider	2024
UP	Fakultät für Wirtschaftswissenschaften	Organisation	Thorsten Grohsjean	2026
TT	Fakultät für Wirtschaftswissenschaften	Prescriptive Business Analytics	Christian Tilk	2023
UP	Fakultät für Wirtschaftswissenschaften	Privat- und Unternehmensrecht	Julia Told	2026
UP	Fakultät für Wirtschaftswissenschaften	Produktion und Logistik	Kevin Tierney	2025
UP	Fakultät für Wirtschaftswissenschaften	Quantitatives Risikomanagement	Christa Cuchiero	2020
UP	Fakultät für Wirtschaftswissenschaften	Statistik mit Anwendungen insbesondere in den Wirtschaftswissenschaften	Tatyana Krivobokova	2020
UP	Fakultät für Wirtschaftswissenschaften	Statistik und Stochastische Optimierung	Johannes Moritz Jirak	2020
TT	Fakultät für Wirtschaftswissenschaften	Statistisches Machine Learning	Lukas Steinberger	2019
TT	Fakultät für Wirtschaftswissenschaften und Historisch-Kulturwissenschaftliche Fakultät	Wirtschafts- und Finanzgeschichte	Kirsten Wandschneider	2020
TT	Historisch-Kulturwissenschaftliche Fakultät	Agrargeschichte	Federico D'Onofrio	2021
UP	Historisch-Kulturwissenschaftliche Fakultät	Antike Kulturgeschichte	Peter Kruschwitz	2019
TT	Historisch-Kulturwissenschaftliche Fakultät	Bioarchäologie	Maria Ivanova-Bieg	2020
UP	Historisch-Kulturwissenschaftliche Fakultät	Byzantinische Kunstgeschichte	Manuela Studer-Karlen	2025
UP	Historisch-Kulturwissenschaftliche Fakultät	Byzantinistik	Federico Montinaro	2026
UP	Historisch-Kulturwissenschaftliche Fakultät	Cultural Heritage	Noémie Etienne	2023
TT	Historisch-Kulturwissenschaftliche Fakultät	Digitale Editorik und Computergestützte Methoden der Neuzeitforschung	Thomas Wallnig	2026
UP	Historisch-Kulturwissenschaftliche Fakultät	Gegenwartskunst	Friederike Sigler	2025
TT	Historisch-Kulturwissenschaftliche Fakultät	Geoarchäologie	Immo Trinks	2020
TT	Historisch-Kulturwissenschaftliche Fakultät	Geschichte der Demokratie und der Menschenrechte (16.-21. Jahrhundert)	Tim Neu	2020
UP	Historisch-Kulturwissenschaftliche Fakultät	Geschichte der Neuzeit – Frauen- und Geschlechtergeschichte ab dem späten 18. Jahrhundert	Katharina Stornig	2025
UP	Historisch-Kulturwissenschaftliche Fakultät	Geschichte der Neuzeit – Historische Europaforschung	Elena Bacchin	2024
UP	Historisch-Kulturwissenschaftliche Fakultät	Geschichte des Hoch- und Spätmittelalters	Jonathan R. Lyon	2024
UP	Historisch-Kulturwissenschaftliche Fakultät	Geschichte Europas im Frühen Mittelalter	Helmut Reimitz	2026
TT	Historisch-Kulturwissenschaftliche Fakultät	Geschlechtergeschichte politischer Ideen im mittleren und östlichen Europa im 20. Jahrhundert	Zsófia Lóránd	2023
UP	Historisch-Kulturwissenschaftliche Fakultät	Globale Wirtschafts- und Sozialgeschichte	Christian Giuseppe De Vito	2023
UP	Historisch-Kulturwissenschaftliche Fakultät	Griechische Geschichte, Altertumskunde und Epigraphik	Konstantinos Vlasopoulos	2026
UP	Historisch-Kulturwissenschaftliche Fakultät	Historische Archäologie mit Schwerpunkt im Spätmittelalter, der frühen Neuzeit, Moderne und Zeitgeschichte	Thomas Kühtreiber	2026
TT	Historisch-Kulturwissenschaftliche Fakultät	Historische Dimensionen des Anthropozäns	Alexis Rider	2025
UP	Historisch-Kulturwissenschaftliche Fakultät	Historische transregionale Studien	Dietlind Hüchtker	2020
TT	Historisch-Kulturwissenschaftliche Fakultät	History of the Ottoman Balkans	Grigor Boykov	2026
UP	Historisch-Kulturwissenschaftliche Fakultät	Judaistik mit einem Schwerpunkt auf Quellen- und Kulturgeschichte	Constanza Cordoni	2025
TT	Historisch-Kulturwissenschaftliche Fakultät	Jüdische Geschichte Österreichs	Philipp Lenhard	2026
UP	Historisch-Kulturwissenschaftliche Fakultät	Klassische Archäologie	Naoíse Mac Sweeney	2020
UP	Historisch-Kulturwissenschaftliche Fakultät	Kunstgeschichte der Frühen Neuzeit mit einem Schwerpunkt in Italien	Kirsten Lee Bierbaum	2023
UP	Historisch-Kulturwissenschaftliche Fakultät	Kunstgeschichte des Mittelalters	Assaf Pinkus	2025
TT	Historisch-Kulturwissenschaftliche Fakultät	Materialitäten und materielle Kulturen	Helen Ahner	2024
TT	Historisch-Kulturwissenschaftliche Fakultät	Methoden und Techniken vom Paläo- bis Neolithikum	Philip-Ronald Nigst	2021
TT	Historisch-Kulturwissenschaftliche Fakultät	Migration und Mobilität	Valeska Huber	2022
TT	Historisch-Kulturwissenschaftliche Fakultät	Mittlere und Neuere Kunstgeschichte (mit einem Schwerpunkt in Mitteleuropa oder den Niederlanden)	Sandra Hindriks	2020
TT	Historisch-Kulturwissenschaftliche Fakultät	Museum Studies	Maria Bremer	2026
TT	Historisch-Kulturwissenschaftliche Fakultät	Nationalsozialismus und Holocaust in Österreich und Europa	Regina Fritz-Klinger	2025
